"Lat","Lon","Index","Region"
58.1151100698954,23.9336569950358,704,"E Baltic"
58.1170303582242,8.14003893285835,705,"Skagerrak & Kattegat"
58.1250607996143,22.5400256798048,706,"E Baltic"
58.1445951427462,8.07806000577615,707,"Skagerrak & Kattegat"
58.1528157086493,11.3511399741155,708,"Skagerrak & Kattegat"
58.1512410365086,24.4729916231514,709,"E Baltic"
58.1497270176633,8.19231297126516,710,"Skagerrak & Kattegat"
58.1547387535756,8.30660427409201,711,"Skagerrak & Kattegat"
58.1642349048241,22.0874446333248,712,"E Baltic"
58.1629624940397,24.0680608581813,713,"E Baltic"
58.1713554834965,16.8904105906826,714,"Central Baltic"
58.174522488599,23.9554256538485,715,"E Baltic"
58.1847383035715,22.5590536778488,716,"E Baltic"
58.1869062650447,24.42814914448,717,"E Baltic"
58.1988863422196,22.0398050234308,718,"E Baltic"
58.2046053445035,22.3324749350676,719,"E Baltic"
58.199356557997,22.738495458487,720,"E Baltic"
58.2133151844793,11.3478333334889,721,"Skagerrak & Kattegat"
58.2095365191482,22.6252481157024,722,"E Baltic"
58.2195989891983,22.5119248004951,723,"E Baltic"
58.215060534869,8.29720077141356,724,"Skagerrak & Kattegat"
58.2199633138788,8.41175660072713,725,"Skagerrak & Kattegat"
58.2317458720455,16.89821230648,726,"Central Baltic"
58.2275697467523,17.0129180866374,727,"Central Baltic"
58.2335228251285,21.9920559640142,728,"E Baltic"
58.2429259735738,21.8784393578338,729,"E Baltic"
58.2462383860008,24.4509436185745,730,"E Baltic"
58.2525452817419,8.46450335345173,731,"Skagerrak & Kattegat"
58.2598723036372,16.9595389559992,732,"Central Baltic"
58.2556308941105,17.0743430802902,733,"Central Baltic"
58.2590209262597,22.7579634010779,734,"E Baltic"
58.257880732003,24.0447283377683,735,"E Baltic"
58.2700453611835,24.225258931286,736,"E Baltic"
58.2774989850216,21.8304351451633,737,"E Baltic"
58.2879680601181,17.0209801035847,738,"Central Baltic"
58.293386840205,23.999220841594,739,"E Baltic"
58.2938283070483,24.2929843647564,740,"E Baltic"
58.3176480967044,8.57033943724213,741,"Skagerrak & Kattegat"
58.3325540964665,11.2258553057767,742,"Skagerrak & Kattegat"
58.3326913076548,19.2860429379562,743,"Central Baltic"
58.3292155125015,24.5418291912574,744,"E Baltic"
58.3403305315904,23.8403054152974,745,"E Baltic"
58.3516638662507,23.7269190375552,746,"E Baltic"
58.3532201042458,24.3155929551238,747,"E Baltic"
58.359461243169,19.3497558758465,748,"Central Baltic"
58.3625900025,21.9140879950312,749,"E Baltic"
58.3649406336715,24.4968027677859,750,"E Baltic"
58.371917451508,21.7999589976124,751,"E Baltic"
58.3769565733826,24.3835773558649,752,"E Baltic"
58.3826687519576,8.67663416325463,753,"Skagerrak & Kattegat"
58.3870530078542,23.680894254877,754,"E Baltic"
58.3994917965738,19.1837683551686,755,"Central Baltic"
58.4130222589794,16.9218060391245,756,"Central Baltic"
58.4224442081235,21.9320190089034,757,"E Baltic"
58.4202107766738,23.3397757762947,758,"E Baltic"
58.4151480189654,8.72995422036621,759,"Skagerrak & Kattegat"
58.4536710449828,11.2186825970829,760,"Skagerrak & Kattegat"
58.4476064445197,8.78338978280926,761,"Skagerrak & Kattegat"
58.452001607927,8.898909249661,762,"Skagerrak & Kattegat"
58.4570715128817,21.883788975543,763,"E Baltic"
58.4554478108138,23.2931896257869,764,"E Baltic"
58.4728235991221,22.0645239116881,765,"E Baltic"
58.4848892589121,11.274832350928,766,"Skagerrak & Kattegat"
58.4798292816517,23.360585388526,767,"E Baltic"
58.4819911519168,23.6561589996296,768,"E Baltic"
58.484383217042,8.95259342565011,769,"Skagerrak & Kattegat"
58.5142564906779,11.2150744567663,770,"Skagerrak & Kattegat"
58.5169585861489,21.9017159916437,771,"E Baltic"
58.5150855129312,23.3139309033716,772,"E Baltic"
58.517373136925,23.6098499633006,773,"E Baltic"
58.5339605736549,16.9376942526588,774,"Central Baltic"
58.5421967766617,21.9680965468902,775,"E Baltic"
58.5481143122177,22.2641172436822,776,"E Baltic"
58.5527416849928,23.5634313002515,777,"E Baltic"
58.5637984366594,23.4491352438934,778,"E Baltic"
58.5748598818755,11.2114516746314,779,"Skagerrak & Kattegat"
58.5662749308525,16.88368590565,780,"Central Baltic"
58.5944558592521,16.9456866562534,781,"Central Baltic"
58.5985678058495,16.8295606558548,782,"Central Baltic"
58.5981211584932,22.3977379652961,783,"E Baltic"
58.5991068732067,23.4024541363632,784,"E Baltic"
58.6226056529642,17.0078044955319,785,"Central Baltic"
58.623438129911,23.470263778668,786,"E Baltic"
58.627647171022,22.7616203956431,787,"E Baltic"
58.6354811919061,11.2078141614015,788,"Skagerrak & Kattegat"
58.6507241956049,17.0700396090412,789,"Central Baltic"
58.6463571187545,17.1863340977987,790,"Central Baltic"
58.647977326739,22.5318064141963,791,"E Baltic"
58.6559718301526,23.1262092481759,792,"E Baltic"
58.6587658557531,23.4235142600238,793,"E Baltic"
58.6728486088724,22.5990087802493,794,"E Baltic"
58.6665783711406,23.0113589469434,795,"E Baltic"
58.6829057682414,22.4839115327854,796,"E Baltic"
58.6830911901946,23.4914769728999,797,"E Baltic"
58.7023668363747,17.3113574205379,798,"Central Baltic"
58.6977437061777,17.4278167394791,799,"Central Baltic"
58.7049493440787,23.2617462816489,800,"E Baltic"
58.7068670607826,17.1948623989392,801,"Central Baltic"
58.7178193169866,22.4359041965623,802,"E Baltic"
58.725479358639,11.1439095131863,803,"Skagerrak & Kattegat"
58.730324147162,17.3740455724547,804,"Central Baltic"
58.7384833897302,17.9032539259407,805,"Central Baltic"
58.7427575647028,23.5127753305898,806,"E Baltic"
58.7713010736475,17.8499322345379,807,"Central Baltic"
58.7719522690681,22.8689414168346,808,"E Baltic"
58.7670376978982,23.5810032209282,809,"E Baltic"
58.7822960640871,22.7535521453006,810,"E Baltic"
58.7989602632236,17.9132704026231,811,"Central Baltic"
58.8140044760848,17.5628181733454,812,"Central Baltic"
58.8134764611574,23.4188899039305,813,"E Baltic"
58.8447876980868,11.0189987167868,814,"Skagerrak & Kattegat"
58.8368747365533,17.742934822529,815,"Central Baltic"
58.8378229207994,23.4872036399788,816,"E Baltic"
58.8354447538088,9.43372917734707,817,"Skagerrak & Kattegat"
58.8468246274427,11.1363059911207,818,"Skagerrak & Kattegat"
58.8487839625278,18.1572324420598,819,"Central Baltic"
58.8488150642796,23.3717791874247,820,"E Baltic"
58.8573227955532,22.2427437123341,821,"E Baltic"
58.8740664568944,10.9582605341777,822,"Skagerrak & Kattegat"
58.8696305110042,17.6892585049284,823,"Central Baltic"
58.8670159936274,22.12681126329,824,"E Baltic"
58.8731947724401,23.4401357239279,825,"E Baltic"
58.8676229116329,9.48869216204817,826,"Skagerrak & Kattegat"
58.8823956365225,22.3101777784067,827,"E Baltic"
58.8973949172967,17.7526567905669,828,"Central Baltic"
58.9037367916453,18.2849308313809,829,"Central Baltic"
58.9018044588931,22.0780844356188,830,"E Baltic"
58.8960550641101,9.42641581091762,831,"Skagerrak & Kattegat"
58.914679010468,18.0506371811764,832,"Central Baltic"
58.9085526681803,23.3929552726969,833,"E Baltic"
58.9311634242376,18.3489579093546,834,"Central Baltic"
